disasterNumber,declarationDate,incidentType,declarationType,state,fyDeclared,incidentBeginDate,designatedArea_count,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incident_duration_days,is_ongoing,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp,total_disaster_cost,total_obligated,federal_obligated,avg_project_cost,applicant_count,project_count,large_project_count,small_project_count,has_debris,has_emergency,has_roads,has_water,has_buildings,has_utilities,has_parks
1277,1999-05-21T00:00:00.000Z,Severe Storm,DR,IA,1999,1999-05-16T00:00:00.000Z,17,0,1,1,1,13.0,0,0.0,0.0,0.0,8534710.43,1862546.18,6422742.96,2449736.0,10984446.43,8533007.27,8200421.87,21955.61277108434,106.0,498.0,35.0,463.0,True,True,True,True,True,True,True
1278,1999-05-28T00:00:00.000Z,Severe Storm,DR,IL,1999,1999-05-16T00:00:00.000Z,1,0,1,1,1,1.0,0,0.0,0.0,0.0,501235.42,20563.57,469397.28,113954.0,615189.4199999999,500602.05,472808.88,11674.292222222222,25.0,54.0,1.0,53.0,True,True,True,False,True,True,True
1279,1999-06-08T00:00:00.000Z,Flood,DR,ND,1999,1999-03-01T00:00:00.000Z,46,0,1,1,1,140.0,0,0.0,0.0,0.0,48334834.63,3905669.96,43752362.0,11742244.0,60077078.63,48332870.72,47046812.96,26215.764012036107,263.0,1994.0,87.0,1907.0,True,True,True,True,True,True,True
1280,1999-06-09T00:00:00.000Z,Tornado,DR,SD,1999,1999-06-04T00:00:00.000Z,2,0,1,1,1,14.0,0,0.0,0.0,0.0,801099.77,621063.41,162372.31,1152684.0,1953783.77,801099.77,760273.1900000001,30718.107272727273,6.0,33.0,7.0,26.0,True,True,True,False,True,True,True
1281,1999-07-20T00:00:00.000Z,Severe Storm,DR,NV,1999,1999-07-08T00:00:00.000Z,1,0,1,1,1,8.0,0,0.0,0.0,0.0,4736115.0,429615.84,4190877.14,704930.0,5441045.0,4735855.02,4591605.01,38883.95651898734,10.0,158.0,27.0,131.0,True,True,True,True,True,True,True
1282,1999-07-22T00:00:00.000Z,Severe Storm,DR,IA,1999,1999-07-02T00:00:00.000Z,21,0,1,1,1,39.0,0,0.0,0.0,0.0,10955690.74,1814403.47,8883933.06,2636499.0,13592189.74,10955375.22,10559363.84,16983.294306393247,126.0,829.0,38.0,791.0,True,True,True,True,True,True,True
1283,1999-07-28T00:00:00.000Z,Severe Storm,DR,MN,1999,1999-07-04T00:00:00.000Z,9,0,1,1,1,29.0,0,0.0,0.0,0.0,11679939.6,3332720.86,8260184.09,2769144.0,14449083.6,11679813.36,11270477.65,30802.499344262294,156.0,488.0,42.0,446.0,True,True,True,True,True,True,True
1284,1999-08-16T00:00:00.000Z,Flood,DR,WI,1999,1999-07-04T00:00:00.000Z,10,0,0,1,1,27.0,0,0.0,0.0,0.0,4064691.72,950005.26,3086906.66,641581.0,4706272.720000001,4064147.16,3868901.11,17024.866435643566,146.0,303.0,14.0,289.0,True,True,True,True,True,True,True
1285,1999-08-16T00:00:00.000Z,Tornado,DR,UT,1999,1999-08-11T00:00:00.000Z,1,0,1,1,1,0.0,0,0.0,0.0,0.0,518798.92,331705.11,182722.6,86350.0,605148.9199999999,518798.92,492108.72000000003,41009.05875,7.0,16.0,4.0,12.0,True,True,True,False,True,False,False
1286,1999-08-20T00:00:00.000Z,Severe Storm,DR,NE,1999,1999-08-06T00:00:00.000Z,3,0,1,1,1,3.0,0,0.0,0.0,0.0,2083481.55,147935.45,1935546.1,621569.0,2705050.55,2083278.6300000001,1990333.52,47388.89214285714,21.0,56.0,8.0,48.0,True,True,True,True,True,True,True
1287,1999-08-22T00:00:00.000Z,Hurricane,DR,TX,1999,1999-08-21T00:00:00.000Z,13,0,1,1,1,5.0,0,0.0,0.0,0.0,3704291.45,2689766.86,906909.42,3182052.0,6886343.45,3704219.08,3536762.01,18067.748620689654,106.0,261.0,21.0,240.0,True,True,True,True,True,True,True
1288,1999-08-26T00:00:00.000Z,Severe Ice Storm,DR,MN,1999,1999-03-01T00:00:00.000Z,7,0,0,1,1,90.0,0,0.0,0.0,0.0,7734889.99,727111.27,6928401.83,1359545.0,9094434.99,7728905.2700000005,7499133.58,42274.329915611816,130.0,237.0,25.0,212.0,True,True,True,True,False,True,True
1289,1999-09-01T00:00:00.000Z,Severe Storm,DR,PA,1999,1999-08-20T00:00:00.000Z,2,0,1,1,1,1.0,0,0.0,0.0,0.0,785818.09,84066.71,685083.81,305977.0,1091795.0899999999,785818.08,745575.53,12910.397142857142,12.0,77.0,2.0,75.0,True,True,True,True,True,True,True
1290,1999-09-06T00:00:00.000Z,Hurricane,DR,VA,1999,1999-08-27T00:00:00.000Z,1,0,1,0,1,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,200782.0,200782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1291,1999-09-09T00:00:00.000Z,Hurricane,DR,NC,1999,1999-08-29T00:00:00.000Z,6,0,1,0,1,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,381636.0,381636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1292,1999-09-16T00:00:00.000Z,Hurricane,DR,NC,1999,1999-09-15T00:00:00.000Z,66,0,1,1,1,48.0,0,0.0,0.0,0.0,298105794.06,143602692.89,150485207.39,67665966.0,365771760.06,298138747.52,292821680.77,86211.44600158982,497.0,3774.0,651.0,3123.0,True,True,True,True,True,True,True
1293,1999-09-18T00:00:00.000Z,Hurricane,DR,VA,1999,1999-09-13T00:00:00.000Z,48,0,1,1,1,13.0,0,0.0,0.0,0.0,19890308.77,8206956.08,11605641.68,4034816.0,23925124.77,19890278.95,19325457.28,26925.05240334378,66.0,957.0,110.0,847.0,True,True,True,True,True,True,True
1294,1999-09-18T00:00:00.000Z,Hurricane,DR,PA,1999,1999-09-16T00:00:00.000Z,8,0,1,1,1,13.0,0,0.0,0.0,0.0,10347269.34,4079425.04,5840828.95,4277685.0,14624954.34,10343336.43,9949005.790000001,15717.227488151659,212.0,844.0,52.0,792.0,True,True,True,True,True,True,True
1295,1999-09-18T00:00:00.000Z,Hurricane,DR,NJ,1999,1999-09-16T00:00:00.000Z,9,0,1,1,1,2.0,0,0.0,0.0,0.0,38703382.74,17818465.28,20285139.28,9436261.0,48139643.74,38716029.98,37412770.2,33192.331781914894,359.0,1504.0,196.0,1308.0,True,True,True,True,True,True,True
1296,1999-09-19T00:00:00.000Z,Hurricane,DR,NY,1999,1999-09-16T00:00:00.000Z,15,0,1,1,1,2.0,0,0.0,0.0,0.0,41182922.07,10759369.68,29436671.56,4413443.0,45596365.07,41177336.09,39902126.5,37309.43241935484,301.0,1426.0,172.0,1254.0,True,True,True,True,True,True,True
1297,1999-09-21T00:00:00.000Z,Hurricane,DR,DE,1999,1999-09-15T00:00:00.000Z,1,0,1,1,1,2.0,0,0.0,0.0,0.0,3374929.57,413506.66,2970485.64,831368.0,4206297.57,3374724.1999999997,3247134.77,32092.843259259258,27.0,135.0,18.0,117.0,True,True,True,True,True,True,True
1298,1999-09-22T00:00:00.000Z,Flood,DR,PA,1999,1999-09-06T00:00:00.000Z,5,0,1,0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,195648.0,195648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1299,1999-09-21T00:00:00.000Z,Hurricane,DR,SC,1999,1999-09-14T00:00:00.000Z,27,0,1,1,0,16.0,0,0.0,0.0,0.0,20544924.45,13046343.17,7178637.83,6074584.0,26619508.45,20550219.44,19870420.7,56737.43620985011,171.0,467.0,96.0,371.0,True,True,True,True,True,True,True
1300,1999-09-22T00:00:00.000Z,Hurricane,DR,FL,1999,1999-09-13T00:00:00.000Z,12,0,0,1,1,12.0,0,0.0,0.0,0.0,34309695.49,16704381.41,17070710.07,3599288.0,37908983.49,34289357.92,33378718.71,72215.9658184765,139.0,617.0,117.0,500.0,True,True,True,False,True,True,True
1301,1999-09-22T00:00:00.000Z,Severe Storm,DR,NM,1999,1999-07-16T00:00:00.000Z,8,0,0,1,1,22.0,0,0.0,0.0,0.0,1968329.67,18254.17,1953360.86,7803.0,1976132.67,1968329.67,1876782.35,20862.2615,28.0,120.0,8.0,112.0,True,True,True,True,False,True,True
1302,1999-09-23T00:00:00.000Z,Hurricane,DR,CT,1999,1999-09-16T00:00:00.000Z,3,0,1,1,1,5.0,0,0.0,0.0,0.0,1875868.51,590763.4,1224126.36,107462.0,1983330.51,1875868.5,1786597.59,17137.625755395682,38.0,139.0,9.0,130.0,True,True,True,True,True,True,True
1303,1999-09-24T00:00:00.000Z,Hurricane,DR,MD,1999,1999-09-16T00:00:00.000Z,11,0,1,1,1,4.0,0,0.0,0.0,0.0,5462529.93,1195275.68,4267254.25,1061424.0,6523953.93,5462529.95,5235027.62,21744.661744548288,82.0,321.0,26.0,295.0,True,True,True,True,True,True,True
1304,1999-10-15T00:00:00.000Z,Severe Storm,DR,AZ,2000,1999-09-14T00:00:00.000Z,2,0,1,0,1,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10446.0,10446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1305,1999-10-18T00:00:00.000Z,Hurricane,DR,NH,2000,1999-09-16T00:00:00.000Z,3,0,0,1,1,2.0,0,0.0,0.0,0.0,594693.82,73108.21,521585.61,11345.0,606038.82,594693.8200000001,562599.68,15960.273404255318,21.0,47.0,2.0,45.0,True,True,True,False,True,True,True
1306,1999-10-20T00:00:00.000Z,Hurricane,DR,FL,2000,1999-10-14T00:00:00.000Z,19,0,1,1,1,10.0,0,0.0,0.0,0.0,106261560.28,32644798.12,72246572.61,21423043.0,127684603.28,106256336.92,104172516.38,98348.22808917197,214.0,1413.0,311.0,1102.0,True,True,True,True,True,True,True
1307,1999-11-10T00:00:00.000Z,Severe Storm,DR,VT,2000,1999-09-16T00:00:00.000Z,10,0,0,1,1,5.0,0,0.0,0.0,0.0,1010652.61,397663.92,612988.69,111961.0,1122613.6099999999,1010652.61,953423.41,13669.151290322581,43.0,93.0,7.0,86.0,True,True,True,False,True,True,True
1308,1999-11-18T00:00:00.000Z,Hurricane,DR,ME,2000,1999-09-16T00:00:00.000Z,5,0,0,1,1,3.0,0,0.0,0.0,0.0,920741.26,21376.49,880889.25,136145.0,1056886.26,920741.26,868601.53,12320.587446808511,53.0,94.0,2.0,92.0,True,True,True,False,True,True,True
1309,1999-11-23T00:00:00.000Z,Hurricane,DR,VI,2000,1999-11-17T00:00:00.000Z,3,0,1,1,1,3.0,0,0.0,0.0,0.0,4844695.58,1257343.05,1891051.87,1847365.0,6692060.58,4835954.62,4705840.24,37083.05843971631,42.0,141.0,22.0,119.0,True,True,True,True,True,True,True
1310,2000-01-10T00:00:00.000Z,Tornado,DR,KY,2000,2000-01-03T00:00:00.000Z,11,0,1,1,1,1.0,0,0.0,0.0,0.0,4680340.29,1386231.25,3245139.39,250405.0,4930745.29,4680096.86,4503709.28,23652.993307086614,23.0,254.0,16.0,238.0,True,True,True,False,True,True,True
1311,2000-01-28T00:00:00.000Z,Severe Storm,DR,GA,2000,2000-01-22T00:00:00.000Z,51,0,0,1,1,10.0,0,0.0,0.0,0.0,36909135.59,26066940.79,10849669.36,5289650.0,42198785.59,38324905.4,37291143.76,153469.14728395062,176.0,324.0,72.0,252.0,True,True,False,False,False,True,True
1312,2000-01-31T00:00:00.000Z,Severe Storm,DR,NC,2000,2000-01-24T00:00:00.000Z,33,0,0,1,1,8.0,0,0.0,0.0,0.0,27368107.85,20690288.33,6631775.1,3453353.0,30821460.85,27358422.21,26609711.43,89901.66625316456,195.0,395.0,51.0,344.0,True,True,False,False,False,True,False
1313,2000-01-31T00:00:00.000Z,Severe Storm,DR,SC,2000,2000-01-22T00:00:00.000Z,38,0,0,1,1,10.0,0,0.0,0.0,0.0,8726361.63,3164581.04,5580429.08,1311471.0,10037832.63,8726361.63,8410542.23,59433.66391534392,104.0,189.0,34.0,155.0,True,True,True,False,False,True,False
1314,2000-02-15T00:00:00.000Z,Snowstorm,DR,LA,2000,2000-01-27T00:00:00.000Z,8,0,0,1,1,3.0,0,0.0,0.0,0.0,2605294.29,1170005.58,1430613.75,405517.0,3010811.29,2605294.29,2494595.28,52991.7146031746,21.0,63.0,14.0,49.0,True,True,True,False,True,True,True
