disasterNumber,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp,paLoadDate,iaLoadDate
2852,,,,1238001.83,24038.82,,0.0,2026-02-06T00:00:00.000Z,
2161,,,,1610.0,1610.0,,,2026-02-06T00:00:00.000Z,
2075,,,,917118.14,1140896.94,-223778.8,,2026-02-06T00:00:00.000Z,
4808,,,,7281718.75,1109787.3,5694579.07,217886.25,2026-05-08T00:00:00.000Z,
5490,,,,,,,35851.87,,
3622,,,,,,,,,
5545,,,,,,,0.0,,
2524,,,,770661.56,,,0.0,2026-02-06T00:00:00.000Z,
2480,,,,151657.52,,,0.0,2026-02-06T00:00:00.000Z,
1248,,,,5270912.91,1897231.26,3373681.65,996958.0,2026-02-06T00:00:00.000Z,
5574,,,,,,,0.0,,
2223,,,,13535.0,13203.0,332.0,,2026-02-06T00:00:00.000Z,
5418,,,,,,,1024091.26,,
3611,,,,,,,,,
3613,,,,,,,,,
5546,,,,,,,0.0,,
2536,,,,232624.73,,,0.0,2026-02-06T00:00:00.000Z,
2982,,,,24924.14,,,0.0,2026-02-06T00:00:00.000Z,
5236,,,,2133667.29,71167.29,,0.0,2026-02-06T00:00:00.000Z,
5572,,,,,,,0.0,,
2152,,,,10467.1,10467.1,,,2026-02-06T00:00:00.000Z,
1369,,,,19743137.17,11692409.39,8072012.75,3344251.0,2026-02-06T00:00:00.000Z,
1805,,,,38841921.56,32124189.94,6349045.86,4713715.0,2026-02-06T00:00:00.000Z,
1769,2619379.95,2404215.89,215164.06,3985862.62,417833.3,3523766.57,812801.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
1907,,,,19679317.4,2022028.66,15871712.34,58901.0,2026-02-06T00:00:00.000Z,
4374,,,,8911251.06,402728.87,7699650.09,367069.75,2026-05-08T00:00:00.000Z,
3135,,,,9848417.16,9838265.65,,,2026-02-06T00:00:00.000Z,
1370,,,,36227572.27,8928827.59,27261029.27,5117141.0,2026-02-06T00:00:00.000Z,
4551,,,,8718623.77,5955240.23,2238316.72,640345.1,2026-02-06T00:00:00.000Z,
4258,,,,33987135.14,4672214.67,28423188.47,3263119.96,2026-05-08T00:00:00.000Z,
4141,,,,5934364.43,1135581.22,4607808.21,936757.0,2026-02-06T00:00:00.000Z,
5182,,,,41124.35,14402.0,,5924762.92,2026-05-08T00:00:00.000Z,
4005,,,,6940346.02,1273604.4,5598332.45,812698.37,2026-02-06T00:00:00.000Z,
1640,627043.17,527647.9,99395.27,8107171.18,3669293.29,4061872.18,400486.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4432,,,,29948251.15,6375480.17,21739530.83,5238361.27,2026-05-08T00:00:00.000Z,
4411,,,,39579504.76,4872569.89,29743301.7,4858855.49,2026-05-08T00:00:00.000Z,
1819,,,,220817573.8,72959754.24,146956946.34,29958447.0,2026-02-06T00:00:00.000Z,
1530,9640959.42,7850466.61,1790492.81,7337467.8,2462711.75,4594348.95,1233644.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4585,,,,35332469.84,1763930.25,29639483.4,856096.04,2026-05-08T00:00:00.000Z,
4715,71264777.21,40216867.55,31047909.66,61446457.8,19305627.19,39441094.02,1132661.61,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
4048,,,,26411715.75,23953406.66,1953951.87,3508702.24,2026-02-06T00:00:00.000Z,
4033,,,,7037295.1,1186451.06,5694403.04,617221.0,2026-02-06T00:00:00.000Z,
1576,,,,6686129.28,1579311.48,5152382.17,527138.0,2026-02-06T00:00:00.000Z,
3195,,,,2696280.98,2262870.87,,,2026-02-06T00:00:00.000Z,
4181,,,,5532167.98,504100.06,4745102.1,861379.0,2026-02-06T00:00:00.000Z,
4868,,,,3833804.4,1198291.65,2284584.76,0.0,2026-05-08T00:00:00.000Z,
1764,549480.66,447761.87,101718.79,4330036.43,4163010.38,85852.56,295657.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
3225,,,,2078364.65,2014986.05,,,2026-02-06T00:00:00.000Z,
4803,3850925.98,2411927.05,1438998.93,19334940.91,1975173.97,16222827.25,3259280.82,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
1326,,,,2191132.01,26462.73,2159308.27,333150.0,2026-02-06T00:00:00.000Z,
4598,,,,22125074.38,9897436.92,11630922.34,1712822.63,2026-05-08T00:00:00.000Z,
4599,,,,24858971.0,18603576.4,3964657.03,2291358.56,2026-05-08T00:00:00.000Z,
1803,,,,6149283.51,62016.6,5923527.91,725370.39,2026-02-06T00:00:00.000Z,
5002,,,,128885.39,60934.77,,0.0,2026-02-06T00:00:00.000Z,
1329,,,,5652343.85,1460174.48,4205941.58,1557307.0,2026-02-06T00:00:00.000Z,
2125,,,,8712.9,8712.9,,,2026-02-06T00:00:00.000Z,
4160,,,,5501202.69,2318517.62,3091736.05,795042.57,2026-02-06T00:00:00.000Z,
4388,,,,1859316.92,91774.39,1664254.84,53783.5,2026-02-06T00:00:00.000Z,
4831,19147030.45,11727636.6,7419393.85,81771974.78,38648414.39,40128285.33,0.0,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
4781,313790496.68,148880084.78,164910411.9,232401657.4,72186680.84,144120098.68,1577828.49,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
1362,,,,4786803.73,4111602.56,675201.17,106606.0,2026-02-06T00:00:00.000Z,
2725,,,,5539.53,2076.53,,0.0,2026-02-06T00:00:00.000Z,
1913,,,,2489369.98,405170.18,2081702.18,402888.0,2026-02-06T00:00:00.000Z,
3490,,,,7152.97,7152.97,,,2026-02-06T00:00:00.000Z,
2129,,,,10304.7,10304.7,,,2026-02-06T00:00:00.000Z,
4253,,,,11266542.12,1402678.81,9354915.53,424136.68,2026-05-08T00:00:00.000Z,
5573,,,,,,,0.0,,
3610,,,,,,,,,
4232,,,,1326573.48,26008.29,1250043.19,141656.7,2026-02-06T00:00:00.000Z,
1666,,,,3058863.94,3025216.69,0.0,339901.0,2026-02-06T00:00:00.000Z,
2494,,,,671846.61,38303.29,,0.0,2026-02-06T00:00:00.000Z,
2145,,,,341529.3,341529.3,,,2026-02-06T00:00:00.000Z,
2216,,,,48676.6,47998.3,678.3,,2026-02-06T00:00:00.000Z,
2678,,,,8312749.56,364617.67,,0.0,2026-02-06T00:00:00.000Z,
4545,,,,1809645.12,1809645.12,,0.0,2026-02-06T00:00:00.000Z,
2076,,,,715276.08,406214.9,309061.18,,2026-02-06T00:00:00.000Z,
3328,,,,1313887.82,1313887.82,,,2026-02-06T00:00:00.000Z,
4687,,,,819070.62,773196.37,45874.25,8600.0,2026-02-06T00:00:00.000Z,
2450,,,,694577.0,6962.88,,,2026-02-06T00:00:00.000Z,
5308,,,,417300.63,75127.21,,0.0,2026-02-06T00:00:00.000Z,
5130,,,,1727016.64,325357.99,,0.0,2026-02-06T00:00:00.000Z,
2227,,,,44916.0,43814.0,1102.0,,2026-02-06T00:00:00.000Z,
2668,,,,6979271.97,151938.67,,0.0,2026-02-06T00:00:00.000Z,
2084,,,,639513.43,639513.43,,,2026-02-06T00:00:00.000Z,
2653,,,,9259793.99,225314.53,,0.0,2026-02-06T00:00:00.000Z,
2171,,,,17969.0,17969.0,,,2026-02-06T00:00:00.000Z,
4321,,,,2727443.3,3249.79,2697493.42,104243.3,2026-02-06T00:00:00.000Z,
2933,,,,1651694.38,433314.93,,0.0,2026-02-06T00:00:00.000Z,
2894,,,,46051.71,12449.89,,0.0,2026-02-06T00:00:00.000Z,
3103,,,,1314587.71,1314359.71,163.0,,2026-02-06T00:00:00.000Z,
5143,,,,637395.06,29930.03,,0.0,2026-02-06T00:00:00.000Z,
2552,,,,840197.0,14063.79,,0.0,2026-02-06T00:00:00.000Z,
3112,,,,5664851.19,5641754.36,23096.83,,2026-02-06T00:00:00.000Z,
5058,,,,836129.26,5704.24,,0.0,2026-02-06T00:00:00.000Z,
2493,,,,1430860.74,142342.17,,0.0,2026-02-06T00:00:00.000Z,
